회차,1등 당첨금액,1등 번호
1,"863,604,600원","10, 23, 29, 33, 37, 40"
2,0원,"9, 13, 21, 25, 32, 42"
3,0원,"11, 16, 19, 21, 27, 31"
4,"1,267,147,200원","14, 27, 30, 31, 40, 42"
5,"3,041,094,900원","16, 24, 29, 40, 41, 42"
6,0원,"14, 15, 26, 27, 40, 42"
7,"2,600,913,000원","2, 9, 16, 25, 26, 40"
8,"7,336,896,000원","8, 19, 25, 34, 37, 39"
9,"25,803,852,000원","2, 4, 16, 17, 36, 39"
10,0원,"9, 25, 30, 33, 41, 44"
