주소,유형,경도,위도
대구광역시 북구 대학로 80,ROAD,128.607715777,35.887720188
강원도 춘천시 강원대학길 1,ROAD,127.750663442,37.870749743
강원도 삼척시 중앙로 346,ROAD,129.159625430,37.451122607
